ticket_id,employee_name,issue_description,status,exact_error_code,created_at,priority,resolution_notes,system
TKT-10102,[REDACTED_PERSON],VPN drops every 20 minutes during video calls. Have to reconnect each time. Very disruptive.,In Progress,VPN-CERT-7731,2024-08-30 18:26,P3,,
TKT-10214,[REDACTED_PERSON],Emergency offboarding - departing employee LDAP removal caused cascade failure.,Resolved,HR-LDAP-552,2024-08-31 13:16,P2,Fixed LDAP group misconfiguration for new employee batch. All 6 users can now access HRPORTAL.,HRPORTAL
TKT-10115,[REDACTED_PERSON],HRPORTAL leave balance showing data from last month. Not updated.,In Progress,HR-SYNC-8812,2024-09-03 09:55,P3,,HRPORTAL
TKT-10231,[REDACTED_PERSON],BGP route update causing VPN routing issues for Singapore office.,Resolved,VPN-DNS-1882,2024-09-05 06:24,P2,Corrected DNS split-tunnel configuration for *.nexacorp.internal domain. Flushed DNS cache.,
TKT-10230,[REDACTED_PERSON],Command-and-control beacon pattern alert from developer workstation. Quarantined.,Escalated,FW-IDS-2209,2024-09-06 09:17,P1,,
TKT-10148,[REDACTED_PERSON],Suspicious login attempt notification from AUTH-GATEWAY. Wasn't me.,Escalated,FW-IDS-2209,2024-09-15 13:16,P1,,AUTH-GATEWAY
TKT-10196,[REDACTED_PERSON],AWS IAM permission lost after quarterly policy tightening by security.,Resolved,SYNC-FAIL-2201B,2024-09-20 16:40,P3,Refreshed AWS IAM role credentials for CLOUDSYNC-S3 service account. Sync resumed.,CLOUDSYNC-S3
TKT-10216,[REDACTED_PERSON],Spam campaign spoofing nexacorp.com flooding inbound queue with bouncebacks.,Resolved,MAIL-QUEUE-8823,2024-09-23 13:40,P2,Brought NEXAMAIL relay node 2 back online. Queue drained within 45 minutes.,NEXAMAIL
TKT-10124,[REDACTED_PERSON],HRPORTAL performance review page crashing when I try to submit self-assessment.,In Progress,HR-SESSION-992,2024-09-28 08:03,P3,,HRPORTAL
TKT-10223,[REDACTED_PERSON],HRPORTAL database backup checksum mismatch. Personnel records table.,Escalated,BACKUP-CHKSUM-77Z,2024-10-04 13:26,P1,,HRPORTAL
TKT-10140,[REDACTED_PERSON],Cloud sync showing hash mismatch for my team's design files.,In Progress,SYNC-HASH-773B,2024-10-05 17:19,P3,,
TKT-10229,[REDACTED_PERSON],Marketing email platform IPs not in SPF record after infrastructure migration.,Resolved,MAIL-SPF-4401,2024-10-06 18:38,P3,Updated SPF TXT record in DNS to include third-party marketing platform IP range.,
TKT-10156,[REDACTED_PERSON],VPN extremely slow from Singapore office after network changes.,In Progress,VPN-DNS-1882,2024-10-09 08:27,P2,,
TKT-10145,[REDACTED_PERSON],Getting HTTP 502 from API gateway when calling /v2/payments endpoint.,In Progress,API-TIMEOUT-7720,2024-10-10 08:17,P2,,
TKT-10142,[REDACTED_PERSON],Browser showing SSL certificate error for auth.internal.nexacorp.com.,Resolved,ERR-AUTH-8801,2024-10-10 10:59,P2,Restored certificate bundle from backup. Restarted AUTH-GATEWAY nginx. Verified health check.,AUTH-GATEWAY
TKT-10119,[REDACTED_PERSON],My Duo Mobile push notifications stopped working for MFA.,Resolved,ERR-AUTH-9092,2024-10-11 16:45,P3,Re-provisioned MFA token in [REDACTED_PERSON]. User re-enrolled YubiKey successfully.,
TKT-10160,[REDACTED_PERSON],Email from nexacorp.com domain being rejected by Gmail. SPF issue.,Resolved,MAIL-SPF-4401,2024-10-13 20:55,P3,Updated SPF TXT record in DNS to include third-party marketing platform IP range.,
TKT-10153,[REDACTED_PERSON],Cloud backup failed three nights in a row. Getting BACKUP-CHKSUM-77Z alerts.,Escalated,BACKUP-CHKSUM-77Z,2024-10-14 06:07,P2,,
TKT-10136,[REDACTED_PERSON],VPN disconnects when switching from WiFi to ethernet. Have to restart client.,In Progress,VPN-HANDSHAKE-003,2024-10-15 07:04,P4,,
TKT-10101,[REDACTED_PERSON],Can't log into HRPORTAL after password reset. Getting authentication error on login page.,In Progress,HR-LDAP-552,2024-10-19 15:30,P3,,HRPORTAL
TKT-10202,[REDACTED_PERSON],VPN client 3.2 incompatible after TLS 1.1 deprecation. Need upgrade.,Resolved,VPN-HANDSHAKE-003,2024-10-21 09:45,P3,Upgraded NEXAVPN client from 3.2 to 3.4.1 to support TLS 1.2. Handshake now succeeds.,NEXAVPN
TKT-10226,[REDACTED_PERSON],Clock skew between API gateway and auth server causing token validation failures.,Resolved,API-TIMEOUT-7720,2024-10-21 12:30,P2,Synchronized clocks between API consumer and AUTH-GATEWAY. JWT validation latency resolved.,AUTH-GATEWAY
TKT-10192,[REDACTED_PERSON],Rate limiter configuration rolled back after accidental downgrade.,Resolved,API-RATE-4429,2024-10-23 15:41,P3,Corrected rate limit policy file. Restored premium tier consumers to 5000 req/min.,
TKT-10130,[REDACTED_PERSON],Docker build failing with critical CVE in base image. Can't push to registry.,In Progress,BUILD-DOCKER-55X,2024-10-25 15:33,P2,,
TKT-10225,[REDACTED_PERSON],Temporary firewall exception requested for authorized compliance data export.,Resolved,FW-DROP-3341,2024-10-26 17:01,P3,Confirmed authorized data transfer. Added temporary DLP exception for compliance export.,
TKT-10235,[REDACTED_PERSON],Q4 salary data sync failed between Workday and HRPORTAL. Payslips impacted.,Escalated,HR-SYNC-8812,2024-10-30 15:42,P2,,HRPORTAL
TKT-10126,[REDACTED_PERSON],Workstation flagged by security scan. Was running authorized Nessus test.,Resolved,FW-DROP-3341,2024-10-31 07:43,P3,Confirmed authorized data transfer. Added temporary DLP exception for compliance export.,
TKT-10146,[REDACTED_PERSON],Multiple team members locked out of VPN simultaneously. Branch office issue.,Escalated,VPN-HANDSHAKE-003,2024-11-05 09:45,P1,,
TKT-10211,[REDACTED_PERSON],NEXABACKUP cold storage node at 89% capacity. Need retention review.,In Progress,MONITOR-DISK-88A,2024-11-09 19:46,P3,,NEXABACKUP
TKT-10129,[REDACTED_PERSON],MFA enrollment link expired before I could complete setup. Need new link.,Resolved,ERR-AUTH-9092,2024-11-13 07:26,P3,Re-provisioned MFA token in [REDACTED_PERSON]. User re-enrolled YubiKey successfully.,
TKT-10161,[REDACTED_PERSON],Can't complete security awareness training on HRPORTAL. Video not loading.,In Progress,HR-SESSION-992,2024-11-13 17:09,P4,,HRPORTAL
TKT-10234,[REDACTED_PERSON],Pen-test tool triggered DLP alert on developer workstation. False positive.,Resolved,FW-DROP-3341,2024-11-14 14:01,P3,Confirmed authorized data transfer. Added temporary DLP exception for compliance export.,
TKT-10184,[REDACTED_PERSON],Cloud cost tagging audit found 23 untagged resources. Need cleanup.,Resolved,SYNC-FAIL-2201B,2024-11-15 11:42,P4,Refreshed AWS IAM role credentials for CLOUDSYNC-S3 service account. Sync resumed.,CLOUDSYNC-S3
TKT-10141,[REDACTED_PERSON],Requested MacBook Pro 2 weeks ago through HRPORTAL. No update on status.,In Progress,HR-SYNC-8812,2024-11-30 14:00,P4,,HRPORTAL
TKT-10159,[REDACTED_PERSON],Application connection pool errors during peak hours. Users seeing timeouts.,In Progress,DB-CONN-POOL-99,2024-12-07 07:22,P2,,
TKT-10209,[REDACTED_PERSON],MFA batch re-provisioning needed after YubiKey firmware update for 15 users.,Resolved,ERR-AUTH-9092,2024-12-07 14:35,P2,Re-provisioned MFA token in [REDACTED_PERSON]. User re-enrolled YubiKey successfully.,
TKT-10232,[REDACTED_PERSON],Tape library robot arm fault. Intermittent rotation failures. Vendor contacted.,Escalated,BACKUP-ROTATE-33,2024-12-08 16:51,P2,,
TKT-10165,[REDACTED_PERSON],S3 sync job failing since AWS credential rotation last night.,In Progress,SYNC-FAIL-2201B,2024-12-08 19:47,P2,,
TKT-10182,[REDACTED_PERSON],Data exfiltration DLP alert - was actually moving files to approved backup.,Resolved,FW-DROP-3341,2024-12-09 09:23,P3,Confirmed authorized data transfer. Added temporary DLP exception for compliance export.,
TKT-10181,[REDACTED_PERSON],Auth-Gateway health check failing after NTP drift on server.,Resolved,ERR-AUTH-8801,2024-12-17 17:47,P2,Restored certificate bundle from backup. Restarted AUTH-GATEWAY nginx. Verified health check.,AUTH-GATEWAY
TKT-10154,[REDACTED_PERSON],Can't push Docker image to internal registry. Trivy scan blocking on CVE.,In Progress,BUILD-DOCKER-55X,2024-12-19 20:09,P3,,
TKT-10221,[REDACTED_PERSON],"Three-way deadlock between invoicing, inventory, and audit transactions.",In Progress,DB-LOCK-1192X,2024-12-21 08:45,P2,,
TKT-10237,[REDACTED_PERSON],file a ticket: cant turn on the nexa software,In Progress,UNKNOWN,2026-05-08 14:26,P3,,
TKT-10238,[REDACTED_PERSON],make a new ticket for the issue of wifi connectivity,In Progress,UNKNOWN,2026-05-14 13:01,P3,,
TKT-10239,[REDACTED_PERSON],file a ticket for database connectivity when connected to wifi,In Progress,UNKNOWN,2026-05-14 13:06,P3,,
TKT-319738,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,Open,Bug Report,2022-01-10,P2,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-272273,[REDACTED_PERSON],I found a bug in the latest update affecting report generation.,Resolved,Refund Request,2024-09-03,P1,Explained billing breakdown and clarified applicable charges.,
TKT-358155,[REDACTED_PERSON],I am unable to access my account after entering the correct credentials.,Resolved,Refund Request,2022-05-11,P2,Explained billing breakdown and clarified applicable charges.,
TKT-265427,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,Pending Customer,Performance Issue,2023-11-03,P3,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-230075,[REDACTED_PERSON],Two-factor authentication codes are not being delivered to my phone.,Pending Customer,Bug Report,2022-07-29,P4,Security settings updated and customer notified of precautionary measures.,
TKT-223678,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Closed,Data Sync Issue,2022-04-16,P3,Security settings updated and customer notified of precautionary measures.,
TKT-334859,[REDACTED_PERSON],I would like to request a refund for the recent charge.,Open,Bug Report,2023-02-23,P4,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-376419,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,In Progress,Performance Issue,2022-11-27,P2,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-332468,[REDACTED_PERSON],The system is not syncing data across devices properly.,Pending Customer,Security Concern,2023-03-07,P2,We have reset the account credentials and advised the customer to retry login.,
TKT-204083,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,Open,Account Suspension,2024-12-22,P1,Subscription status corrected and confirmation email sent to customer.,
TKT-274457,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,Pending Customer,Account Suspension,2022-02-21,P1,Explained billing breakdown and clarified applicable charges.,
TKT-342134,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,In Progress,Bug Report,2022-06-24,P4,Subscription status corrected and confirmation email sent to customer.,
TKT-386434,[REDACTED_PERSON],I would like to request a refund for the recent charge.,In Progress,Payment Problem,2022-01-15,P4,We have reset the account credentials and advised the customer to retry login.,
TKT-284661,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,Pending Customer,Subscription Cancellation,2024-09-07,P2,Explained billing breakdown and clarified applicable charges.,
TKT-317168,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,Closed,Security Concern,2024-04-03,P4,Security settings updated and customer notified of precautionary measures.,
TKT-310853,[REDACTED_PERSON],The system is not syncing data across devices properly.,In Progress,Data Sync Issue,2022-07-15,P3,Provided step-by-step troubleshooting instructions and issue resolved.,
TKT-305001,[REDACTED_PERSON],I am unable to access my account after entering the correct credentials.,Pending Customer,Payment Problem,2022-09-01,P2,Security settings updated and customer notified of precautionary measures.,
TKT-381464,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Open,Subscription Cancellation,2022-07-30,P3,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-209448,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Closed,Bug Report,2022-02-06,P1,Bug logged internally and workaround shared with the customer.,
TKT-378532,[REDACTED_PERSON],The payment was deducted from my bank account but the transaction shows failed.,Resolved,Performance Issue,2023-07-07,P1,Subscription status corrected and confirmation email sent to customer.,
TKT-368259,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Resolved,Security Concern,2023-05-09,P2,We have reset the account credentials and advised the customer to retry login.,
TKT-230069,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,Closed,Feature Request,2022-11-21,P3,Security settings updated and customer notified of precautionary measures.,
TKT-228456,[REDACTED_PERSON],I found a bug in the latest update affecting report generation.,Resolved,Subscription Cancellation,2023-02-08,P3,Subscription status corrected and confirmation email sent to customer.,
TKT-356519,[REDACTED_PERSON],The payment was deducted from my bank account but the transaction shows failed.,Pending Customer,Performance Issue,2023-03-21,P1,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-207817,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,Open,Feature Request,2022-01-31,P4,Bug logged internally and workaround shared with the customer.,
TKT-205255,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,Open,Payment Problem,2024-01-19,P1,Bug logged internally and workaround shared with the customer.,
TKT-209849,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Open,Data Sync Issue,2023-05-06,P1,Bug logged internally and workaround shared with the customer.,
TKT-330691,[REDACTED_PERSON],The system is not syncing data across devices properly.,Pending Customer,Data Sync Issue,2023-10-31,P3,Subscription status corrected and confirmation email sent to customer.,
TKT-391767,[REDACTED_PERSON],The system is not syncing data across devices properly.,Resolved,Refund Request,2024-12-12,P2,Bug logged internally and workaround shared with the customer.,
TKT-248711,[REDACTED_PERSON],I found a bug in the latest update affecting report generation.,Pending Customer,Security Concern,2024-03-22,P4,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-332177,[REDACTED_PERSON],I am unable to access my account after entering the correct credentials.,Closed,Security Concern,2023-02-02,P1,Data synchronization restored after backend service restart.,
TKT-206604,[REDACTED_PERSON],I am unable to access my account after entering the correct credentials.,Resolved,Subscription Cancellation,2024-01-03,P3,We have reset the account credentials and advised the customer to retry login.,
TKT-222726,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Pending Customer,Account Suspension,2023-04-18,P3,We have reset the account credentials and advised the customer to retry login.,
TKT-200810,[REDACTED_PERSON],I would like to request a refund for the recent charge.,Closed,Payment Problem,2022-05-06,P3,Security settings updated and customer notified of precautionary measures.,
TKT-313504,[REDACTED_PERSON],Two-factor authentication codes are not being delivered to my phone.,Closed,Refund Request,2023-03-28,P2,Explained billing breakdown and clarified applicable charges.,
TKT-290859,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,In Progress,Refund Request,2023-12-25,P2,Bug logged internally and workaround shared with the customer.,
TKT-237748,[REDACTED_PERSON],The payment was deducted from my bank account but the transaction shows failed.,Resolved,Bug Report,2024-02-19,P3,Data synchronization restored after backend service restart.,
TKT-329626,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Resolved,Security Concern,2022-01-24,P4,The issue was escalated to engineering and resolved in the latest patch.,
TKT-219645,[REDACTED_PERSON],The payment was deducted from my bank account but the transaction shows failed.,Resolved,Subscription Cancellation,2022-07-26,P2,Provided step-by-step troubleshooting instructions and issue resolved.,
TKT-260152,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Open,Subscription Cancellation,2022-06-05,P3,Provided step-by-step troubleshooting instructions and issue resolved.,
TKT-264048,[REDACTED_PERSON],The system is not syncing data across devices properly.,Pending Customer,Security Concern,2024-12-15,P3,Bug logged internally and workaround shared with the customer.,
TKT-360889,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,Pending Customer,Login Issue,2022-11-16,P4,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-254784,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,In Progress,Feature Request,2022-10-01,P3,Subscription status corrected and confirmation email sent to customer.,
TKT-329465,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,In Progress,Feature Request,2023-11-19,P1,Security settings updated and customer notified of precautionary measures.,
TKT-342388,[REDACTED_PERSON],Two-factor authentication codes are not being delivered to my phone.,Resolved,Bug Report,2022-06-16,P4,Subscription status corrected and confirmation email sent to customer.,
TKT-342235,[REDACTED_PERSON],I am unable to access my account after entering the correct credentials.,Closed,Account Suspension,2022-05-03,P2,Explained billing breakdown and clarified applicable charges.,
TKT-339137,[REDACTED_PERSON],The payment was deducted from my bank account but the transaction shows failed.,Closed,Security Concern,2024-07-13,P3,Bug logged internally and workaround shared with the customer.,
TKT-277727,[REDACTED_PERSON],The system is not syncing data across devices properly.,Pending Customer,Payment Problem,2024-04-21,P3,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-398811,[REDACTED_PERSON],I would like to request a refund for the recent charge.,Open,Feature Request,2024-02-21,P3,We have reset the account credentials and advised the customer to retry login.,
TKT-266401,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,In Progress,Subscription Cancellation,2022-02-19,P1,Explained billing breakdown and clarified applicable charges.,
TKT-366159,[REDACTED_PERSON],I found a bug in the latest update affecting report generation.,Closed,Account Suspension,2023-05-13,P1,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-388688,[REDACTED_PERSON],The system is not syncing data across devices properly.,Closed,Data Sync Issue,2022-12-16,P3,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-350192,[REDACTED_PERSON],I would like to request a refund for the recent charge.,In Progress,Security Concern,2022-01-20,P1,Bug logged internally and workaround shared with the customer.,
TKT-363810,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,Pending Customer,Security Concern,2024-06-06,P3,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-265430,[REDACTED_PERSON],I would like to request a refund for the recent charge.,Resolved,Account Suspension,2022-11-22,P3,Provided step-by-step troubleshooting instructions and issue resolved.,
TKT-381499,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Pending Customer,Payment Problem,2024-10-18,P4,Bug logged internally and workaround shared with the customer.,
TKT-312317,[REDACTED_PERSON],I found a bug in the latest update affecting report generation.,In Progress,Payment Problem,2023-01-15,P4,Security settings updated and customer notified of precautionary measures.,
TKT-328745,[REDACTED_PERSON],The system is not syncing data across devices properly.,Open,Refund Request,2024-12-11,P4,Bug logged internally and workaround shared with the customer.,
TKT-268412,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,In Progress,Data Sync Issue,2023-02-14,P4,We have reset the account credentials and advised the customer to retry login.,
TKT-272465,[REDACTED_PERSON],Two-factor authentication codes are not being delivered to my phone.,Closed,Account Suspension,2024-02-07,P4,Data synchronization restored after backend service restart.,
TKT-289987,[REDACTED_PERSON],I would like to request a refund for the recent charge.,Resolved,Refund Request,2023-02-11,P4,The issue was escalated to engineering and resolved in the latest patch.,
TKT-360068,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Resolved,Bug Report,2023-04-01,P2,Explained billing breakdown and clarified applicable charges.,
TKT-301073,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,In Progress,Performance Issue,2023-03-12,P4,Provided step-by-step troubleshooting instructions and issue resolved.,
TKT-306474,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,Closed,Payment Problem,2023-03-08,P2,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-209198,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,Pending Customer,Refund Request,2022-05-08,P4,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-221615,[REDACTED_PERSON],I would like to request a refund for the recent charge.,In Progress,Bug Report,2022-09-09,P1,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-312235,[REDACTED_PERSON],I found a bug in the latest update affecting report generation.,Pending Customer,Refund Request,2023-08-17,P3,Provided step-by-step troubleshooting instructions and issue resolved.,
TKT-298626,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,Pending Customer,Payment Problem,2023-06-28,P2,We have reset the account credentials and advised the customer to retry login.,
TKT-329879,[REDACTED_PERSON],I would like to request a refund for the recent charge.,Pending Customer,Security Concern,2023-03-30,P3,We have reset the account credentials and advised the customer to retry login.,
TKT-266177,[REDACTED_PERSON],Two-factor authentication codes are not being delivered to my phone.,In Progress,Account Suspension,2022-05-23,P3,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-210076,[REDACTED_PERSON],I would like to request a refund for the recent charge.,In Progress,Account Suspension,2022-07-24,P2,Data synchronization restored after backend service restart.,
TKT-345013,[REDACTED_PERSON],The system is not syncing data across devices properly.,Pending Customer,Performance Issue,2024-12-11,P4,We have reset the account credentials and advised the customer to retry login.,
TKT-254403,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,Resolved,Subscription Cancellation,2023-02-24,P2,Data synchronization restored after backend service restart.,
TKT-312813,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,Closed,Login Issue,2022-12-11,P1,Explained billing breakdown and clarified applicable charges.,
TKT-202816,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Pending Customer,Refund Request,2023-08-12,P1,Bug logged internally and workaround shared with the customer.,
TKT-241260,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Resolved,Account Suspension,2022-08-11,P3,The issue was escalated to engineering and resolved in the latest patch.,
TKT-389058,[REDACTED_PERSON],Two-factor authentication codes are not being delivered to my phone.,Pending Customer,Payment Problem,2023-04-19,P4,Provided step-by-step troubleshooting instructions and issue resolved.,
TKT-388902,[REDACTED_PERSON],Two-factor authentication codes are not being delivered to my phone.,Resolved,Performance Issue,2024-08-25,P1,Security settings updated and customer notified of precautionary measures.,
TKT-367030,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,In Progress,Subscription Cancellation,2024-04-09,P1,Bug logged internally and workaround shared with the customer.,
TKT-334553,[REDACTED_PERSON],The system is not syncing data across devices properly.,Open,Bug Report,2022-06-09,P1,Security settings updated and customer notified of precautionary measures.,
TKT-292597,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Closed,Security Concern,2022-09-28,P4,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-378490,[REDACTED_PERSON],I am unable to access my account after entering the correct credentials.,Resolved,Subscription Cancellation,2024-03-31,P1,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-390727,[REDACTED_PERSON],I found a bug in the latest update affecting report generation.,Closed,Security Concern,2022-07-22,P3,We have reset the account credentials and advised the customer to retry login.,
TKT-228291,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,Open,Payment Problem,2024-02-15,P1,Provided step-by-step troubleshooting instructions and issue resolved.,
TKT-300164,[REDACTED_PERSON],I would like to request a refund for the recent charge.,In Progress,Performance Issue,2023-02-02,P1,The issue was escalated to engineering and resolved in the latest patch.,
TKT-312904,[REDACTED_PERSON],I am unable to access my account after entering the correct credentials.,Open,Security Concern,2022-11-30,P3,Explained billing breakdown and clarified applicable charges.,
TKT-380473,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,In Progress,Security Concern,2024-11-24,P2,Security settings updated and customer notified of precautionary measures.,
TKT-370637,[REDACTED_PERSON],I would like to request a refund for the recent charge.,In Progress,Performance Issue,2022-01-30,P4,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-288987,[REDACTED_PERSON],The payment was deducted from my bank account but the transaction shows failed.,Resolved,Payment Problem,2022-07-10,P3,Data synchronization restored after backend service restart.,
TKT-346322,[REDACTED_PERSON],I am unable to access my account after entering the correct credentials.,Resolved,Bug Report,2022-06-21,P4,We have reset the account credentials and advised the customer to retry login.,
TKT-337860,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,Open,Subscription Cancellation,2023-12-29,P1,The issue was escalated to engineering and resolved in the latest patch.,
TKT-343391,[REDACTED_PERSON],The system is not syncing data across devices properly.,Closed,Performance Issue,2022-01-07,P2,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-371679,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,In Progress,Bug Report,2022-09-27,P4,Bug logged internally and workaround shared with the customer.,
TKT-364775,[REDACTED_PERSON],The system is not syncing data across devices properly.,Open,Security Concern,2022-09-29,P3,Subscription status corrected and confirmation email sent to customer.,
TKT-371403,[REDACTED_PERSON],The system is not syncing data across devices properly.,Resolved,Refund Request,2022-08-18,P4,Subscription status corrected and confirmation email sent to customer.,
TKT-382092,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,In Progress,Login Issue,2022-01-21,P2,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-231930,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Open,Account Suspension,2024-09-08,P3,The issue was escalated to engineering and resolved in the latest patch.,
TKT-278447,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,Pending Customer,Subscription Cancellation,2022-01-21,P4,Provided step-by-step troubleshooting instructions and issue resolved.,
TKT-345115,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,In Progress,Security Concern,2024-05-14,P3,The issue was escalated to engineering and resolved in the latest patch.,
TKT-296762,[REDACTED_PERSON],My subscription was cancelled without my request and I need clarification.,Resolved,Data Sync Issue,2022-09-16,P3,Subscription status corrected and confirmation email sent to customer.,
TKT-353368,[REDACTED_PERSON],I would like to request a refund for the recent charge.,Resolved,Account Suspension,2024-07-13,P2,Subscription status corrected and confirmation email sent to customer.,
TKT-269029,[REDACTED_PERSON],I am unable to access my account after entering the correct credentials.,In Progress,Subscription Cancellation,2023-02-15,P3,We have reset the account credentials and advised the customer to retry login.,
TKT-206683,[REDACTED_PERSON],I am experiencing very slow performance while using the dashboard.,Closed,Payment Problem,2022-01-14,P2,The issue was escalated to engineering and resolved in the latest patch.,
TKT-280570,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,In Progress,Feature Request,2022-01-30,P4,Explained billing breakdown and clarified applicable charges.,
TKT-346280,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,Resolved,Performance Issue,2024-02-27,P3,The issue was escalated to engineering and resolved in the latest patch.,
TKT-209571,[REDACTED_PERSON],I found a bug in the latest update affecting report generation.,Pending Customer,Login Issue,2022-11-18,P1,Bug logged internally and workaround shared with the customer.,
TKT-338795,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,Closed,Bug Report,2022-10-21,P2,The duplicate charge was reversed and refund processed within 3-5 business days.,
TKT-307075,[REDACTED_PERSON],Two-factor authentication codes are not being delivered to my phone.,Open,Security Concern,2022-06-16,P1,Subscription status corrected and confirmation email sent to customer.,
TKT-233645,[REDACTED_PERSON],I would like to request a refund for the recent charge.,Open,Payment Problem,2022-01-06,P1,Subscription status corrected and confirmation email sent to customer.,
TKT-323496,[REDACTED_PERSON],I would like to request a refund for the recent charge.,In Progress,Payment Problem,2024-03-25,P2,Data synchronization restored after backend service restart.,
TKT-374673,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,Resolved,Refund Request,2024-07-20,P3,We have reset the account credentials and advised the customer to retry login.,
TKT-270580,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,Closed,Payment Problem,2023-04-07,P2,Subscription status corrected and confirmation email sent to customer.,
TKT-379456,[REDACTED_PERSON],The application crashes whenever I try to upload a file.,Pending Customer,Refund Request,2024-01-08,P3,Explained billing breakdown and clarified applicable charges.,
TKT-202676,[REDACTED_PERSON],I found a bug in the latest update affecting report generation.,Pending Customer,Feature Request,2023-12-05,P4,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-203746,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,Resolved,Payment Problem,2024-09-24,P4,Payment gateway timeout issue fixed and monitoring implemented.,
TKT-326839,[REDACTED_PERSON],There seems to be a discrepancy in my billing statement for this month.,Pending Customer,Performance Issue,2023-04-12,P3,We have reset the account credentials and advised the customer to retry login.,
